miRNA Number_of_reads
hsa-mir-20b-3p 13
hsa-mir-6770-2-3p 13
hsa-mir-214-5p 3
hsa-mir-5191-5p 5
hsa-mir-218-1-3p 26
hsa-mir-4467-5p 130
hsa-mir-641-3p 418
hsa-mir-4768-3p 12
hsa-mir-3944-3p 128
hsa-mir-3199-1-5p 10
hsa-mir-451a-loop 17
hsa-mir-23b-3p 83489
hsa-mir-6885-3p 5
hsa-mir-101-1-5p 64
hsa-mir-559-3p 1399
hsa-mir-4743-5p 20
hsa-mir-548n-5p 1251
hsa-mir-1298-5p 8
hsa-mir-23a-5p 1355
hsa-mir-3139-5p 78
hsa-mir-4493-loop 1
hsa-mir-346-5p 1063
hsa-mir-660-5p 25953
hsa-mir-1294-5p 409
hsa-mir-4999-3p 7
hsa-mir-16-2-5p 373607
hsa-mir-320c-2-3p 669
hsa-mir-6859-4-5p 8
hsa-mir-1287-5p 3009
hsa-mir-3691-5p 673
hsa-mir-4753-5p 5
hsa-mir-1185-2-5p 5
hsa-mir-487a-3p 33
hsa-mir-1289-1-3p 27
hsa-mir-548t-3p 537
hsa-mir-6775-3p 7
hsa-mir-4781-3p 60
hsa-mir-380-3p 18
hsa-mir-196b-5p 44554
hsa-mir-662-5p 9
hsa-mir-5008-3p 29
hsa-mir-4503-5p 10
hsa-mir-618-5p 1064
hsa-mir-34a-3p 4
hsa-mir-5002-5p 24
hsa-mir-4449-5p 5
hsa-mir-625-3p 6880
hsa-mir-574-5p 7636
hsa-mir-30e-5p 550417
hsa-mir-6798-3p 92
hsa-mir-5708-5p 26
hsa-mir-3182-5p 557
hsa-mir-374a-loop 20
hsa-mir-486-1-3p 174
hsa-mir-215-5p 86
hsa-mir-6840-5p 89
hsa-mir-1908-3p 104
hsa-mir-142-5p 212
hsa-mir-4474-3p 8
hsa-mir-3189-3p 67
hsa-mir-4691-3p 31
hsa-mir-203b-loop 8
hsa-mir-200c-loop 493
hsa-mir-502-3p 14741
hsa-mir-4757-3p 9
hsa-mir-675-3p 86
hsa-mir-6789-3p 21
hsa-mir-1843-3p 1
hsa-mir-182-loop 19
hsa-mir-941-2-loop 187
hsa-mir-6089-1-5p 5
hsa-mir-548a-1-3p 96
hsa-mir-3682-5p 7
hsa-mir-488-3p 9
hsa-mir-671-5p 5507
hsa-mir-582-3p 11
hsa-mir-3908-3p 13
hsa-mir-1285-1-loop 22
hsa-mir-9-1-loop 379
hsa-mir-338-5p 17
hsa-mir-151b-3p 14862
hsa-mir-31-5p 1256262
hsa-mir-204-5p 919
hsa-mir-607-3p 2
hsa-mir-4644-5p 6
hsa-mir-6721-5p 55
hsa-mir-451b-5p 1
hsa-mir-767-5p 120
hsa-mir-1185-2-3p 27
hsa-mir-548l-5p 1312
hsa-mir-4720-loop 4
hsa-mir-600-5p 65
hsa-mir-887-5p 1
hsa-mir-6834-3p 6
hsa-mir-3174-5p 87
hsa-mir-188-5p 936
hsa-mir-3120-5p 4
hsa-mir-219a-1-5p 607
hsa-mir-5692c-2-5p 9
hsa-mir-346-3p 26
hsa-mir-1909-3p 27
hsa-mir-4744-5p 4
hsa-mir-6734-3p 2
hsa-mir-1229-3p 400
hsa-mir-1271-5p 115
hsa-mir-186-3p 101
hsa-mir-3664-3p 377
hsa-mir-497-3p 6
hsa-mir-203a-5p 85
hsa-mir-653-3p 315
hsa-mir-548ar-3p 718
hsa-mir-30d-3p 781
hsa-mir-6862-2-3p 1
hsa-mir-27a-5p 14083
hsa-mir-616-5p 1829
hsa-mir-6848-5p 27
hsa-mir-651-3p 15
hsa-mir-3170-5p 24
hsa-mir-935-3p 1576
hsa-let-7b-3p 1755
hsa-mir-6514-3p 5
hsa-mir-4707-5p 773
hsa-mir-3194-3p 60
hsa-mir-5585-5p 8
hsa-mir-6861-3p 3
hsa-mir-2276-3p 157
hsa-mir-620-loop 3
hsa-mir-5684-3p 23
hsa-mir-1299-3p 98
hsa-mir-184-3p 51
hsa-mir-6847-3p 26
hsa-mir-6859-3-3p 3
hsa-mir-4286-5p 18516
hsa-mir-5008-5p 41
hsa-mir-4728-3p 147
hsa-mir-3177-5p 15
hsa-mir-4653-3p 143
hsa-mir-6785-3p 2
hsa-mir-3651-3p 35
hsa-mir-6820-3p 33
hsa-mir-1260a-5p 33
hsa-mir-6813-3p 8
hsa-mir-4723-3p 74
hsa-mir-6501-5p 94
hsa-mir-1302-5-3p 3
hsa-mir-6759-3p 3
hsa-mir-1305-3p 5
hsa-mir-10392-5p 68
hsa-mir-887-3p 24
hsa-mir-6724-2-5p 93
hsa-mir-1289-2-3p 7
hsa-mir-1246-5p 1034
hsa-mir-374a-3p 12111
hsa-mir-497-loop 2
hsa-mir-182-5p 991128
hsa-mir-5588-5p 13
hsa-mir-3938-3p 4
hsa-mir-937-5p 19
hsa-mir-340-loop 46
hsa-mir-619-5p 160
hsa-mir-377-5p 1
hsa-mir-4659a-5p 33
hsa-mir-1291-5p 80
hsa-mir-651-5p 6638
hsa-mir-933-3p 15
hsa-mir-3159-3p 371
hsa-mir-3126-5p 64
hsa-mir-6084-3p 5
hsa-mir-769-loop 175
hsa-mir-4999-loop 13
hsa-mir-4724-5p 27
hsa-mir-3190-3p 49
hsa-mir-1302-11-3p 3
hsa-mir-431-5p 6
hsa-mir-381-3p 108
hsa-mir-5697-3p 20
hsa-mir-4764-5p 3
hsa-mir-5583-2-3p 17
hsa-mir-99a-3p 1
hsa-mir-3162-3p 10
hsa-mir-1286-3p 138
hsa-mir-3141-5p 2
hsa-mir-5696-5p 49
hsa-mir-4473-3p 266
hsa-mir-548am-3p 88
hsa-mir-1255b-2-3p 25
hsa-mir-624-3p 320
hsa-mir-200a-3p 321462
hsa-mir-548d-2-3p 161
hsa-mir-4523-5p 99
hsa-mir-221-loop 1060
hsa-mir-1256-3p 39
hsa-mir-492-5p 25
hsa-mir-5702-5p 15
hsa-mir-4757-5p 13
hsa-mir-6842-3p 187
hsa-mir-4796-3p 454
hsa-mir-219b-3p 90
hsa-mir-4518-5p 8
hsa-mir-1292-5p 1329
hsa-mir-302d-3p 493
hsa-mir-514a-1-3p 4
hsa-mir-550a-2-loop 7
hsa-mir-3907-3p 11
hsa-mir-6766-3p 49
hsa-mir-4775-5p 57
hsa-mir-4453-5p 18
hsa-mir-374b-5p 14716
hsa-mir-548v-3p 1697
hsa-mir-199b-5p 4084
hsa-mir-4444-2-3p 4
hsa-mir-4433b-3p 4
hsa-mir-1285-1-5p 606
hsa-mir-3688-2-3p 80
hsa-mir-7111-5p 13
hsa-mir-147b-3p 146
hsa-mir-6761-5p 5
hsa-let-7f-1-3p 445
hsa-mir-181a-1-3p 2198
hsa-mir-7705-3p 12
hsa-mir-5687-3p 4
hsa-mir-3664-5p 36
hsa-mir-6757-3p 12
hsa-mir-15b-3p 16048
hsa-mir-4772-5p 8
hsa-mir-3648-2-loop 5
hsa-mir-4519-3p 7
hsa-mir-3173-5p 961
hsa-mir-6813-5p 5
hsa-mir-7162-3p 2
hsa-mir-628-3p 984
hsa-mir-1296-3p 21
hsa-mir-6855-3p 25
hsa-mir-4706-3p 6
hsa-mir-501-5p 4949
hsa-mir-574-3p 10989
hsa-mir-27b-loop 28
hsa-mir-320d-1-3p 334
hsa-mir-4659b-3p 3
hsa-mir-188-3p 30
hsa-mir-1972-1-3p 4
hsa-mir-145-3p 5956
hsa-mir-1915-3p 80
hsa-mir-1226-3p 738
hsa-mir-3662-3p 340
hsa-mir-194-2-5p 11566
hsa-mir-5585-3p 174
hsa-mir-1284-5p 176
hsa-mir-6768-5p 22
hsa-mir-449b-5p 244
hsa-mir-3120-3p 127
hsa-mir-676-3p 309
hsa-mir-505-5p 604
hsa-mir-10399-5p 751
hsa-mir-6879-5p 4
hsa-mir-766-5p 82
hsa-mir-4435-2-3p 5
hsa-mir-7-2-loop 3
hsa-mir-382-5p 70
hsa-mir-140-5p 8656
hsa-mir-4766-3p 193
hsa-mir-1268a-5p 1207
hsa-mir-376a-1-5p 30
hsa-mir-6876-5p 11
hsa-mir-26a-2-5p 374733
hsa-mir-378c-5p 5200
hsa-mir-130b-loop 384
hsa-mir-6754-5p 8
hsa-mir-548ae-1-3p 6
hsa-mir-7-3-3p 4
hsa-mir-6724-3-3p 1
hsa-mir-4501-5p 1
hsa-mir-4654-3p 10
hsa-mir-8086-5p 3
hsa-mir-4428-loop 8
hsa-mir-548h-4-3p 22
hsa-mir-193a-3p 110
hsa-mir-4749-3p 8
hsa-mir-106a-3p 26
hsa-mir-7-3-5p 480324
hsa-mir-211-5p 25
hsa-mir-101-2-5p 44
hsa-mir-4504-3p 363
hsa-mir-548k-5p 5667
hsa-mir-5579-5p 6
hsa-mir-4640-5p 22
hsa-mir-485-3p 37
hsa-mir-21-loop 1920
hsa-mir-6786-3p 112
hsa-mir-744-loop 12
hsa-mir-605-5p 38
hsa-mir-1843-5p 408
hsa-mir-107-loop 8
hsa-mir-6751-5p 13
hsa-mir-7705-5p 58
hsa-mir-625-loop 117
hsa-mir-299-5p 1
hsa-mir-3941-3p 61
hsa-mir-200b-3p 704276
hsa-mir-3136-5p 386
hsa-mir-6718-5p 11
hsa-mir-3129-5p 60
hsa-mir-224-5p 15486
hsa-mir-4523-loop 5
hsa-mir-4670-5p 14
hsa-mir-1255a-5p 1595
