miRNA Number_of_reads
hsa-mir-30c-2-3p 1
hsa-mir-103a-1-3p 331814
hsa-mir-6851-loop 16
hsa-mir-3665-5p 51
hsa-mir-2116-5p 176
hsa-mir-4803-5p 24
hsa-mir-135a-2-3p 3
hsa-mir-1197-3p 19
hsa-mir-1224-3p 22
hsa-mir-411-5p 113
hsa-mir-6781-5p 6
hsa-mir-345-3p 17
hsa-mir-454-5p 2603
hsa-mir-744-5p 34874
hsa-mir-30c-1-loop 22
hsa-mir-589-5p 4695
hsa-mir-98-3p 590
hsa-mir-3160-1-5p 2
hsa-mir-4422-5p 35
hsa-mir-6811-5p 73
hsa-mir-30a-3p 28
hsa-mir-185-3p 1471
hsa-mir-548d-1-3p 263
hsa-mir-664a-5p 148
hsa-mir-3615-3p 12478
hsa-mir-1277-5p 559
hsa-mir-6787-5p 4
hsa-mir-3184-3p 7
hsa-let-7a-1-loop 468
hsa-mir-9-3-3p 50440
hsa-mir-193a-5p 1645
hsa-mir-29b-2-3p 20625
hsa-mir-6749-5p 4
hsa-mir-548w-5p 1604
hsa-mir-4700-5p 4
hsa-mir-580-5p 13
hsa-mir-455-5p 8789
hsa-let-7c-5p 1993
hsa-mir-125a-loop 148
hsa-mir-5010-3p 136
hsa-mir-6831-3p 11
hsa-mir-487b-3p 192
hsa-mir-10399-3p 649
hsa-mir-4444-2-loop 1
hsa-mir-33b-loop 878
hsa-mir-876-5p 1
hsa-mir-6724-3-5p 120
hsa-mir-548ab-5p 465
hsa-mir-5009-3p 12
hsa-mir-6747-3p 161
hsa-mir-941-4-loop 206
hsa-mir-4785-5p 4
hsa-mir-342-3p 10382
hsa-mir-551b-loop 1
hsa-mir-1261-5p 10
hsa-mir-6730-5p 15
hsa-mir-4798-5p 10
hsa-mir-4746-5p 399
hsa-mir-5000-3p 29
hsa-mir-6858-3p 20
hsa-mir-877-loop 7
hsa-mir-483-loop 9
hsa-mir-23b-5p 372
hsa-mir-181d-3p 24
hsa-mir-424-5p 1807
hsa-mir-548x-2-loop 3
hsa-mir-4713-3p 14
hsa-mir-20a-3p 3474
hsa-mir-6885-5p 3
hsa-mir-6799-3p 45
hsa-mir-3180-5-5p 9
hsa-mir-19b-1-5p 348
hsa-mir-3116-2-3p 26
hsa-mir-941-3-3p 2007
hsa-mir-6780a-5p 17
hsa-mir-941-4-3p 1899
hsa-mir-379-5p 151
hsa-mir-4749-5p 25
hsa-mir-4308-3p 3
hsa-mir-182-3p 3865
hsa-mir-769-5p 66814
hsa-mir-3913-2-3p 14
hsa-mir-214-3p 5
hsa-mir-3164-5p 71
hsa-mir-5087-3p 9
hsa-mir-5001-loop 10
hsa-mir-6891-5p 40
hsa-mir-139-loop 4
hsa-mir-101-1-loop 19
hsa-mir-4652-3p 105
hsa-mir-590-3p 37758
hsa-mir-589-3p 1040
hsa-mir-362-5p 23510
hsa-mir-1306-5p 1548
hsa-mir-33b-5p 111
hsa-mir-4739-3p 6
hsa-mir-410-3p 57
hsa-let-7f-2-3p 224
hsa-mir-503-5p 3355
hsa-mir-302d-5p 15
hsa-mir-3175-5p 16
hsa-mir-320a-5p 10
hsa-mir-191-loop 439
hsa-mir-12136-loop 5
hsa-mir-3609-3p 59
hsa-mir-3155a-3p 163
hsa-mir-3064-5p 120
hsa-mir-144-5p 52
hsa-mir-378g-5p 11
hsa-mir-4444-1-3p 3
hsa-mir-663b-3p 169
hsa-mir-195-loop 31
hsa-mir-135b-5p 201202
hsa-mir-26a-1-3p 428
hsa-mir-6847-5p 41
hsa-mir-6802-5p 13
hsa-mir-6807-5p 37
hsa-mir-122b-5p 5
hsa-mir-625-5p 208
hsa-mir-1302-6-3p 2
hsa-mir-3170-3p 67
hsa-mir-26a-1-5p 367511
hsa-mir-1244-1-loop 6
hsa-mir-3128-5p 381
hsa-mir-204-3p 3
hsa-mir-16-1-loop 4
hsa-mir-10523-5p 103
hsa-mir-135a-1-5p 47
hsa-mir-3164-3p 6
hsa-mir-429-3p 275977
hsa-mir-548an-5p 31
hsa-mir-4654-5p 23
hsa-mir-29b-1-3p 20474
hsa-mir-6799-loop 24
hsa-mir-6801-5p 22
hsa-mir-941-1-5p 69
hsa-mir-369-5p 4
hsa-mir-152-5p 19
hsa-mir-6852-5p 6
hsa-mir-1273c-3p 305
hsa-mir-3180-1-loop 1
hsa-mir-3648-1-3p 153
hsa-mir-125b-1-loop 35
hsa-mir-4520-2-3p 1
hsa-mir-6818-5p 28
hsa-mir-301a-5p 5865
hsa-let-7f-1-5p 693523
hsa-mir-181d-loop 13
hsa-mir-450a-1-3p 37
hsa-mir-217-5p 7
hsa-mir-4779-5p 5
hsa-mir-6770-3-5p 29
hsa-mir-4511-5p 221
hsa-mir-486-2-5p 832
hsa-mir-4751-5p 6
hsa-mir-6794-3p 39
hsa-mir-27a-loop 34
hsa-mir-196a-2-3p 8
hsa-mir-4497-5p 1
hsa-mir-1248-5p 49
hsa-mir-6882-3p 9
hsa-mir-548d-2-5p 1871
hsa-mir-4769-5p 6
hsa-mir-107-5p 20
hsa-mir-4431-5p 85
hsa-mir-4472-2-5p 39
hsa-mir-3157-5p 254
hsa-mir-6750-5p 13
hsa-mir-6759-5p 4
hsa-mir-378a-loop 8
hsa-mir-539-5p 2
hsa-mir-6875-3p 19
hsa-mir-4485-5p 58
hsa-mir-378a-3p 153433
hsa-mir-6882-5p 104
hsa-mir-6832-5p 16
hsa-mir-29a-5p 4417
hsa-mir-20b-loop 2
hsa-mir-1258-5p 33
hsa-mir-3680-2-5p 83
hsa-mir-7-1-3p 12784
hsa-mir-3940-3p 1082
hsa-mir-32-loop 596
hsa-mir-6741-3p 13
hsa-mir-939-5p 101
hsa-mir-7977-5p 19
hsa-mir-361-3p 20899
hsa-mir-146b-3p 459
hsa-mir-1294-3p 43
