Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",15.2,ddPCR Supermix for Probes (no dUTP),304,,,17.2,13.1,212,16340,,,,,,16552,,,,,,,,,,,,,,,,,,1,1,1316,4408.8,607.52,656.21,"",,,,16.2,14.1,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",284,ddPCR Supermix for Probes (no dUTP),5680,,,294,275,3500,12811,,,,,,16311,,,,,,,,,,,,,,,,,,1,1,1369,4338.5,539.51,1354.7,"",,,,289,279.4,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",29.7,ddPCR Supermix for Probes (no dUTP),594,,,32.4,27,453,17723,,,,,,18176,,,,,,,,,,,,,,,,,,1,1,1020,3486.2,433.21,509.3,"",,,,31.1,28.3,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",68,ddPCR Supermix for Probes (no dUTP),1360,,,72.3,63.7,960,16126,,,,,,17086,,,,,,,,,,,,,,,,,,1,1,1014,3472.1,439.31,609.71,"",,,,70.2,65.8,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",44.1,ddPCR Supermix for Probes (no dUTP),882,,,47.5,40.8,676,17683,,,,,,18359,,,,,,,,,,,,,,,,,,1,1,1016,3484.3,460.07,571.42,"",,,,45.8,42.4,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",15.3,ddPCR Supermix for Probes (no dUTP),306,,,17.4,13.3,216,16491,,,,,,16707,,,,,,,,,,,,,,,,,,1,1,1305,4398,584.81,634.1,"",,,,16.4,14.3,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",123,ddPCR Supermix for Probes (no dUTP),2460,,,129,118,1726,15595,,,,,,17321,,,,,,,,,,,,,,,,,,1,1,1321,4333.6,531.38,910.27,"",,,,126.5,120.5,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",25.5,ddPCR Supermix for Probes (no dUTP),510,,,28.3,22.7,318,14533,,,,,,14851,,,,,,,,,,,,,,,,,,1,1,1040,3679.4,452.19,521.29,"",,,,26.9,24,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",51.8,ddPCR Supermix for Probes (no dUTP),1036,,,55.5,48.1,767,17045,,,,,,17812,,,,,,,,,,,,,,,,,,1,1,1048,3649.1,443.31,581.36,"",,,,53.7,49.9,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",53.4,ddPCR Supermix for Probes (no dUTP),1068,,,57.2,49.6,761,16402,,,,,,17163,,,,,,,,,,,,,,,,,,1,1,850,3455.3,427.1,561.37,"",,,,55.3,51.4,,,,,,,,,,,,,
