id	filename	md5	size	state
02d79fd4-fc2a-418f-bb71-725085c4cb03	723445a3-d438-43a2-b15c-409d03994af2.mirnaseq.isoforms.quantification.txt	48737dcb0d914dcb5970ebeb6325dab6	637262	validated
02f2577c-bb82-4f22-9f7b-3e08c4617cc5	12ec459d-c985-4c07-b830-e7d93a2deda1.mirbase21.isoforms.quantification.txt	7ae6368ede60a5633e2c250d3f9ca4eb	326545	validated
02f935ac-6ee7-4c28-a5f6-2b676dff505b	02b136c1-389c-4317-a19e-4e50d1f27151.mirbase21.mirnas.quantification.txt	9fa0d5ff3f5f391ef3e058a2bc14895d	50291	validated
030425ab-2d94-480e-a5ae-1b74d7816799	f8484afd-b1ee-43dd-ba9c-4c8a0cfa7b2d.mirbase21.mirnas.quantification.txt	eeb01bde77119b0208b5f420f7e2277f	50129	validated
030988e8-33db-45dc-9a6c-896b55f8c9fe	97e26e67-0399-42de-9670-5764b70e09eb.mirbase21.mirnas.quantification.txt	4057cec0b718abf99bd823f42d88986d	50132	validated
030bb526-6bb2-4fdd-9e1d-77d4730ce554	db8efb6d-f9a7-4897-96ae-3b25ad2837ff.mirnaseq.isoforms.quantification.txt	da91481a9e414af646cd8ca903eb05ca	803168	validated
030e30be-6d37-41db-86e7-ce70787414e4	96b411ef-2cdd-4613-8a9a-a6cbab80bf74.mirbase21.mirnas.quantification.txt	2b98159c48e7bec76c8e70386aa0c922	50136	validated
031c5597-7065-4582-8b2c-4a667cbc21b9	df70444a-31be-488e-bb75-38c3d5d3b8ec.mirbase21.mirnas.quantification.txt	84d8396a7f5ebbdec9adb9cc26e509b9	50020	validated
031e6d2b-86c1-46ee-b891-2f08a2da740c	647c88cc-9317-4f8b-9a15-5afa9447ca41.mirbase21.mirnas.quantification.txt	14e3db9b1bf65f2c76660559f95ecdb6	50292	validated
0324d8da-dab3-49b4-a123-51cc2497b75b	a8e54a1f-1f61-492c-bcd6-7e5298174b79.mirnaseq.mirnas.quantification.txt	ef8800194e2e7891ac6c18661cbc9816	50694	validated
0326f684-af6a-4dcf-8ecb-34769db82b30	2e99d330-a2d3-437e-83da-28ddf6399d0c.mirbase21.isoforms.quantification.txt	e0c2d8e487c3cfc633d73a5df9d1947d	230997	validated
032f9c8a-572b-427c-bee5-20fed35cf10f	0a7c73c7-0894-407a-bb48-9eebe2d27894.mirbase21.mirnas.quantification.txt	c1388bbf1c3aef63a30489e427f54dab	50348	validated
0330af1f-4fc9-4e5c-a5c3-a0607bdf2f26	38663bad-62be-4884-a69a-9e6c71af9c46.mirnaseq.isoforms.quantification.txt	980480a9a6ebb7733b1a983763c735b1	848590	validated
033c8090-5a16-4f3c-858a-5aaee9003c15	b0c568ed-a8a4-48dd-ac66-bad51836a776.mirbase21.isoforms.quantification.txt	8de69febfe6ea574e3341ab74d737dcf	308780	validated
033d8b0b-c369-4500-83bf-56f756afa5cc	7b5ea67b-1210-4a04-8cc2-ee1aee15ca83.mirnaseq.isoforms.quantification.txt	61380c6094e23fa7dbf5cb9cdc2ec6dc	809842	validated
0340db23-dad0-4cde-a43b-87a5175ea8e9	cb021f17-56b7-4de9-8e5a-8a9eada5f0d2.mirbase21.isoforms.quantification.txt	74df2bcc3eb365aed60d395bb8071907	271285	validated
03463d0c-fed8-4506-b1b7-d5b9018df525	502ab737-7e31-47ed-b0ef-f8e036457ef1.mirbase21.mirnas.quantification.txt	a6f2b5268942a692d03d5816ef744778	50425	validated
035743b7-99fc-450b-bb4c-4ab0d70dd3fe	47bd5483-6c11-4d02-973b-8e790c3b0d7a.mirbase21.isoforms.quantification.txt	e3134224432d5478b10f1794854bafc2	392496	validated
03589e93-5465-4e5b-91aa-be97a386e097	cda59159-0883-48d9-8839-5cf9743a41e5.mirbase21.isoforms.quantification.txt	78666bf86fccf3eeef7f3aec118542bc	287638	validated
03768d6c-d69a-4462-8359-3107688464bc	d5cac52b-ae4b-4a6d-adf6-e3daef7a0459.mirbase21.mirnas.quantification.txt	ed094ef419551370ce3b32de8abc99b6	50114	validated
