miRNA Number_of_reads
hsa-mir-106b-3p 53369
hsa-mir-3127-3p 305
hsa-mir-550a-1-3p 500
hsa-mir-1914-5p 204
hsa-mir-766-3p 1076
hsa-mir-200c-3p 1177729
hsa-mir-3691-loop 14
hsa-mir-3155a-5p 167
hsa-mir-3187-3p 1635
hsa-mir-3657-5p 284
hsa-mir-548i-2-loop 1
hsa-mir-423-5p 42471
hsa-mir-3150a-3p 69
hsa-mir-3620-3p 27
hsa-mir-218-1-3p 34
hsa-mir-570-3p 177
hsa-mir-4662a-3p 1
hsa-mir-199b-loop 9
hsa-mir-452-loop 49
hsa-mir-4433b-5p 8
hsa-mir-3165-5p 81
hsa-mir-5002-5p 6
hsa-mir-5580-5p 41
hsa-mir-6773-5p 122
hsa-mir-625-3p 11480
hsa-mir-28-5p 42356
hsa-mir-548z-3p 38
hsa-mir-3613-loop 35
hsa-mir-103a-1-3p 390058
hsa-mir-148a-3p 204772
hsa-mir-652-loop 7
hsa-mir-6165-3p 7
hsa-mir-3680-2-3p 15
hsa-mir-301a-3p 12494
hsa-mir-619-5p 177
hsa-mir-4431-5p 74
hsa-mir-2113-3p 57
hsa-mir-500a-5p 2485
hsa-mir-6515-3p 7
hsa-mir-3158-1-5p 64
hsa-mir-511-5p 4
hsa-mir-6764-3p 23
hsa-mir-29b-1-3p 22241
hsa-mir-3618-3p 10
hsa-mir-4752-5p 16
hsa-mir-548a-1-3p 98
hsa-mir-27a-5p 17305
hsa-mir-6840-3p 17
hsa-mir-186-5p 325581
hsa-mir-25-5p 9984
hsa-mir-3936-5p 5
hsa-mir-676-5p 96
hsa-mir-197-loop 430
hsa-mir-889-3p 72
hsa-mir-3665-5p 36
hsa-mir-106a-5p 1735
hsa-mir-4667-3p 18
hsa-mir-3174-3p 2
hsa-mir-15a-3p 231
hsa-mir-124-1-3p 10
hsa-mir-6868-3p 9
hsa-mir-6716-3p 67
hsa-mir-103a-1-loop 79
hsa-mir-3611-5p 31
hsa-mir-551b-loop 2
hsa-mir-3937-3p 2
hsa-mir-3939-3p 77
hsa-mir-194-2-3p 20
hsa-let-7a-2-5p 655398
hsa-mir-365a-3p 18816
hsa-mir-378d-2-5p 1225
hsa-mir-203a-3p 92537
hsa-mir-6511a-3-5p 76
hsa-mir-590-5p 1122
hsa-mir-24-1-5p 291
hsa-mir-548e-3p 5221
hsa-mir-497-loop 27
hsa-mir-3160-1-5p 1
hsa-mir-509-3-5p 5
hsa-mir-1253-5p 18
hsa-mir-651-3p 22
hsa-mir-503-5p 3033
hsa-mir-5696-3p 25
hsa-mir-423-3p 277110
hsa-mir-4728-5p 26
hsa-mir-622-3p 1
hsa-mir-103a-2-3p 404570
hsa-mir-548i-2-5p 121
hsa-mir-548az-5p 155
hsa-mir-152-3p 2423
hsa-mir-106b-5p 449958
hsa-mir-7111-3p 191
hsa-mir-3678-5p 1
hsa-mir-6777-3p 3
hsa-mir-4680-5p 10
hsa-mir-3200-3p 7605
hsa-mir-4667-5p 18
hsa-mir-302c-5p 105
hsa-mir-3143-3p 221
hsa-mir-450a-2-3p 58
hsa-mir-200b-5p 16874
hsa-mir-3929-3p 89
hsa-let-7a-2-3p 4968
hsa-let-7i-3p 5945
hsa-mir-4749-5p 57
hsa-mir-550a-3-5p 157
hsa-mir-3138-3p 166
hsa-mir-4436b-1-5p 145
hsa-mir-1248-5p 225
hsa-mir-4524a-3p 6
hsa-mir-629-5p 34236
hsa-mir-302b-3p 2067
hsa-mir-6876-5p 23
hsa-mir-542-3p 1589
hsa-mir-6770-1-3p 32
hsa-mir-4689-5p 130
hsa-mir-199a-1-5p 92
hsa-mir-545-loop 31
hsa-mir-4723-3p 118
hsa-mir-148a-loop 250
hsa-mir-6802-3p 32
hsa-mir-3667-3p 816
hsa-mir-486-2-5p 1466
hsa-mir-133a-2-5p 1
hsa-mir-429-5p 22
hsa-mir-6511a-3-3p 144
hsa-mir-941-2-5p 80
hsa-mir-21-loop 2433
hsa-mir-183-3p 35344
hsa-mir-548am-3p 166
hsa-mir-6889-3p 6
hsa-mir-3137-5p 45
hsa-mir-891a-5p 3
hsa-mir-346-5p 1785
hsa-mir-221-5p 117452
hsa-mir-3131-3p 6
hsa-mir-128-2-3p 113482
hsa-mir-331-5p 3258
hsa-mir-5001-loop 14
hsa-mir-2467-5p 147
hsa-mir-584-loop 40
hsa-mir-181c-3p 1274
hsa-mir-4485-5p 141
hsa-mir-4735-3p 10
hsa-mir-664a-3p 2172
hsa-mir-940-loop 25
hsa-mir-124-2-3p 17
hsa-mir-140-3p 141813
hsa-mir-3132-5p 67
hsa-mir-4677-5p 55
hsa-mir-579-5p 1258
hsa-mir-6868-5p 17
hsa-mir-10396b-loop 83
hsa-mir-3132-loop 12
hsa-mir-16-1-3p 1208
hsa-mir-19b-2-3p 136428
hsa-mir-4638-5p 15
hsa-mir-6806-5p 5
hsa-mir-3129-5p 5
hsa-mir-7111-5p 42
hsa-mir-4504-5p 22
hsa-mir-6776-3p 5
hsa-mir-302d-3p 589
hsa-mir-3164-5p 129
hsa-mir-675-3p 128
hsa-mir-18b-5p 507
hsa-mir-196a-1-5p 12502
hsa-mir-671-5p 6890
hsa-mir-548p-3p 666
hsa-mir-550b-2-5p 1
hsa-mir-129-2-5p 25
hsa-mir-548t-3p 548
hsa-mir-1278-3p 1873
hsa-mir-6770-2-3p 25
hsa-mir-6856-3p 28
hsa-mir-6783-3p 150
hsa-mir-4458-5p 21
hsa-mir-34a-3p 1398
hsa-mir-4724-5p 35
hsa-mir-101-1-5p 43
hsa-mir-362-5p 28277
hsa-mir-7706-5p 4
hsa-mir-126-loop 378
hsa-mir-125b-1-3p 14621
hsa-mir-4739-5p 6
hsa-mir-92a-2-5p 5
hsa-mir-29a-3p 3157005
hsa-mir-6858-5p 4
hsa-mir-651-5p 6964
hsa-mir-3160-2-3p 12
hsa-mir-6779-3p 36
hsa-mir-3149-3p 216
hsa-mir-153-1-3p 1284
hsa-mir-29b-1-loop 2409
hsa-mir-3622a-3p 23
hsa-mir-202-5p 3
hsa-mir-6885-5p 17
hsa-mir-409-5p 99
hsa-mir-4467-3p 25
hsa-mir-4745-3p 27
hsa-mir-2116-3p 1166
hsa-mir-6511b-2-5p 61
hsa-mir-665-3p 19
hsa-mir-1252-5p 1090
hsa-mir-3678-3p 5
hsa-mir-509-2-5p 8
hsa-mir-597-loop 1
hsa-mir-31-3p 20949
hsa-mir-1286-5p 178
hsa-mir-6747-3p 242
hsa-mir-12135-3p 16
hsa-mir-125b-2-5p 820219
hsa-mir-600-5p 79
hsa-mir-5583-2-3p 47
hsa-mir-4429-5p 1
hsa-mir-631-5p 4
hsa-mir-659-5p 180
hsa-mir-1244-2-3p 1
hsa-mir-331-3p 23569
hsa-mir-4436b-2-5p 122
hsa-mir-3935-3p 7
hsa-mir-1343-3p 1033
hsa-mir-141-3p 58607
hsa-mir-6859-4-5p 10
hsa-mir-6850-5p 79
hsa-mir-135a-1-5p 34
hsa-mir-218-1-5p 3356
hsa-mir-452-3p 1575
hsa-mir-624-5p 2522
hsa-mir-5708-3p 12
hsa-mir-6753-3p 29
hsa-mir-3180-4-3p 5
hsa-mir-3193-3p 2
hsa-mir-7156-5p 9
hsa-mir-7-1-3p 16639
hsa-mir-5683-3p 9
hsa-let-7a-3-3p 7498
hsa-mir-509-1-3p 4
hsa-mir-1287-3p 294
hsa-mir-501-5p 5676
hsa-mir-3617-3p 33
hsa-mir-3153-5p 98
hsa-mir-3074-5p 306
hsa-mir-1233-1-5p 3
hsa-mir-1908-5p 465
hsa-mir-567-3p 3
hsa-mir-539-3p 44
hsa-mir-149-5p 67077
hsa-mir-515-1-5p 4
hsa-mir-326-loop 14
hsa-mir-4781-5p 13
hsa-mir-6847-3p 13
hsa-mir-142-3p 396
hsa-mir-205-5p 32
hsa-let-7e-3p 3910
hsa-mir-888-5p 12
hsa-mir-7851-3p 618
hsa-mir-4765-3p 11
hsa-mir-656-3p 15
hsa-mir-3648-2-loop 62
hsa-let-7f-1-3p 814
hsa-mir-4664-3p 581
hsa-mir-1179-5p 37
hsa-mir-6810-5p 31
hsa-mir-6838-5p 19
hsa-mir-3168-3p 6
hsa-mir-381-5p 6
hsa-mir-3179-2-5p 23
hsa-mir-9985-5p 245
hsa-mir-7704-5p 48
hsa-mir-20b-5p 271
hsa-mir-636-5p 8
hsa-mir-548ap-5p 8
hsa-mir-941-5-3p 2661
