miRNA Number_of_reads
hsa-mir-191-loop 686
hsa-mir-4771-2-5p 41
hsa-mir-3116-1-3p 37
hsa-mir-3692-5p 21
hsa-mir-3680-2-5p 80
hsa-mir-4729-3p 20
hsa-mir-1244-1-5p 2
hsa-mir-6805-5p 139
hsa-mir-548a-2-3p 158
hsa-mir-4502-3p 10
hsa-mir-6746-5p 12
hsa-mir-6511a-1-3p 145
hsa-mir-4422-5p 20
hsa-mir-5699-3p 88
hsa-mir-4690-5p 70
hsa-mir-3937-5p 1
hsa-mir-548f-3-3p 154
hsa-mir-381-3p 72
hsa-mir-6739-3p 14
hsa-mir-1538-5p 9
hsa-mir-30c-1-5p 209724
hsa-mir-5001-3p 1448
hsa-mir-579-3p 37
hsa-mir-6859-2-3p 16
hsa-mir-193a-5p 2100
hsa-mir-652-3p 18862
hsa-mir-20a-3p 4186
hsa-mir-1298-5p 10
hsa-mir-1227-5p 12
hsa-mir-376a-1-3p 87
hsa-mir-429-loop 618
hsa-mir-3919-5p 7
hsa-mir-199a-2-5p 84
hsa-mir-2278-3p 12
hsa-mir-455-loop 29
hsa-mir-3613-3p 493
hsa-mir-4640-5p 11
hsa-mir-101-2-5p 59
hsa-mir-6879-5p 9
hsa-mir-6511a-1-5p 71
hsa-mir-573-5p 1039
hsa-mir-425-5p 512645
hsa-mir-4474-3p 61
hsa-mir-652-5p 1361
hsa-mir-126-3p 89732
hsa-mir-125b-2-3p 54
hsa-mir-4653-loop 12
hsa-mir-1296-loop 72
hsa-mir-4423-5p 252
hsa-mir-128-1-5p 3204
hsa-mir-4668-5p 10
hsa-mir-941-1-5p 75
hsa-mir-5701-3-5p 28
hsa-mir-181b-1-loop 175
hsa-mir-183-loop 170
hsa-mir-6770-3-3p 34
hsa-mir-378f-3p 391
hsa-mir-500b-3p 103
hsa-mir-582-3p 29
hsa-mir-6132-3p 15
hsa-mir-6844-3p 8
hsa-mir-6818-5p 25
hsa-mir-548ay-3p 1391
hsa-mir-3131-5p 74
hsa-mir-365a-5p 346
hsa-mir-4774-3p 12
hsa-mir-1268a-5p 2428
hsa-mir-9-2-5p 135631
hsa-mir-708-5p 159
hsa-mir-329-2-3p 86
hsa-mir-5695-5p 9
hsa-mir-3129-3p 191
hsa-mir-3944-3p 290
hsa-mir-1272-5p 406
hsa-mir-4798-5p 20
hsa-mir-128-1-3p 143708
hsa-mir-195-loop 25
hsa-mir-1228-5p 33
hsa-mir-466-5p 22
hsa-mir-4467-5p 188
hsa-mir-3663-5p 18
hsa-mir-6501-3p 32
hsa-mir-451a-5p 62
hsa-mir-3529-5p 7
hsa-mir-4267-3p 36
hsa-mir-603-5p 1
hsa-mir-3201-5p 23
hsa-mir-320b-2-3p 3455
hsa-mir-2116-5p 89
hsa-mir-6715a-3p 6
hsa-mir-29b-2-3p 23068
hsa-mir-576-5p 15130
hsa-mir-1909-5p 64
hsa-mir-95-5p 295
hsa-mir-433-3p 1
hsa-mir-429-3p 240186
hsa-mir-4477b-3p 13
hsa-mir-548f-1-3p 12
hsa-mir-660-3p 647
hsa-mir-495-3p 156
hsa-mir-1301-5p 76
hsa-mir-9-3-3p 54666
hsa-mir-181b-1-5p 8379
hsa-mir-505-5p 903
hsa-mir-3681-5p 1
hsa-mir-23c-3p 13
hsa-mir-4789-3p 13
hsa-mir-548i-1-5p 126
hsa-mir-718-5p 9
hsa-mir-372-3p 30
hsa-mir-4713-3p 16
hsa-mir-6784-5p 11
hsa-mir-365b-3p 18993
hsa-mir-3652-3p 9
hsa-mir-550b-1-5p 3
hsa-mir-943-3p 20
hsa-mir-6721-5p 22
hsa-mir-1247-5p 5793
hsa-mir-2278-loop 2
hsa-mir-4426-5p 9
hsa-mir-588-3p 47
hsa-mir-450a-1-5p 1133
hsa-mir-151a-5p 829134
hsa-mir-23b-5p 441
hsa-mir-3614-loop 113
hsa-mir-5094-5p 1739
hsa-let-7d-5p 235597
hsa-mir-3652-5p 8
hsa-mir-6724-3-5p 211
hsa-mir-3128-5p 506
hsa-mir-26b-3p 1594
hsa-mir-148a-5p 4374
hsa-mir-944-3p 23
hsa-mir-491-3p 623
hsa-mir-3909-5p 46
hsa-mir-933-3p 1
hsa-mir-3610-loop 33
hsa-mir-194-2-5p 14698
hsa-mir-3928-3p 951
hsa-mir-940-3p 3681
hsa-mir-548h-4-3p 18
hsa-mir-5697-5p 55
hsa-mir-1288-3p 85
hsa-mir-4501-5p 23
hsa-mir-7706-3p 3311
hsa-mir-4469-3p 4
hsa-mir-33b-3p 10290
hsa-mir-548v-5p 199
hsa-mir-1231-loop 13
hsa-mir-548aa-2-3p 544
hsa-mir-1273h-3p 1
hsa-mir-127-3p 85
hsa-mir-3146-3p 107
hsa-mir-549a-5p 36
hsa-mir-3133-3p 813
hsa-mir-196a-2-5p 16162
hsa-mir-3180-3-3p 32
hsa-mir-937-5p 29
hsa-mir-4781-3p 43
hsa-mir-4452-5p 6
hsa-mir-6882-5p 121
hsa-mir-624-3p 163
hsa-mir-421-5p 42
hsa-mir-6772-3p 45
hsa-mir-16-2-loop 5
hsa-mir-548an-3p 8
hsa-mir-1285-2-5p 34
hsa-mir-4764-3p 10
hsa-mir-548al-5p 37
hsa-mir-26a-2-3p 1949
hsa-mir-374a-5p 116728
hsa-mir-548n-3p 121
hsa-mir-4772-3p 46
hsa-mir-4794-3p 30
hsa-mir-4710-5p 18
hsa-mir-379-3p 31
hsa-mir-378c-3p 1
hsa-mir-574-3p 14971
hsa-mir-5193-3p 16
hsa-mir-3917-3p 33
hsa-mir-548aq-5p 273
hsa-mir-5004-3p 1
hsa-mir-4444-2-5p 4
hsa-mir-1181-5p 24
hsa-mir-5000-3p 63
hsa-mir-4473-3p 356
hsa-mir-4457-3p 8
hsa-mir-5006-3p 36
hsa-mir-6837-3p 10
hsa-mir-4659a-3p 1066
hsa-mir-877-5p 9474
hsa-mir-302a-5p 1374
hsa-mir-4642-5p 23
hsa-mir-3667-loop 29
hsa-mir-3917-loop 23
hsa-mir-552-3p 6
hsa-mir-3192-5p 49
hsa-mir-185-3p 1633
hsa-mir-3065-3p 154
hsa-mir-4653-3p 173
hsa-mir-12132-3p 9
hsa-mir-595-3p 24
hsa-mir-4706-5p 110
hsa-mir-4782-5p 35
hsa-mir-3918-3p 43
hsa-mir-93-loop 61
hsa-mir-486-1-5p 1538
hsa-mir-4802-3p 11
hsa-mir-542-5p 17
hsa-mir-222-5p 5433
hsa-mir-5581-5p 5
hsa-mir-654-3p 169
hsa-mir-6832-5p 11
hsa-mir-7112-loop 172
hsa-let-7a-1-3p 7069
hsa-mir-1277-5p 406
